Rk_batting,Name,Age_batting,Tm_batting,Lg_x,G_x,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,IBB_x,Rk_pitching,Age_pitching,Tm_pitching,Lg_y,W,L,W-L%,ERA,G_y,GS,GF,CG,SHO,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
293,Tommy Hunter,36,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,337,36,NYM,NL,0,1,0.0,6.85,14,0,6,0,0,0,23.2,28,20,18,6,5,0,20,2,0,0,106,61,5.78,1.394,10.6,2.3,1.9,7.6,4.0
297,Drey Jameson,25,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,348,25,ARI,NL,3,1,0.75,3.32,15,3,3,0,0,1,40.2,40,15,15,6,18,0,37,1,0,0,174,129,4.79,1.426,8.9,1.3,4.0,8.2,2.06
303,Joe Jiménez,28,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,353,28,ATL,NL,0,3,0.0,2.86,35,0,13,0,0,0,34.2,30,14,11,4,10,0,41,1,0,0,147,159,3.38,1.154,7.8,1.0,2.6,10.6,4.1
306,Pierce Johnson,32,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,354,32,COL,NL,1,4,0.2,6.05,42,0,25,0,0,13,38.2,46,27,26,7,23,0,57,0,0,3,184,84,4.48,1.784,10.7,1.6,5.4,13.3,2.48
313,Jakob Junis,30,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,356,30,SFG,NL,3,3,0.5,4.73,25,0,3,0,0,1,53.1,62,29,28,11,16,1,63,3,0,0,233,91,4.68,1.463,10.5,1.9,2.7,10.6,3.94
315,Anthony Kay*,28,CHC,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,363,28,CHC,NL,0,0,0.0,1.13,10,0,3,0,0,0,8.0,5,1,1,0,5,0,6,1,0,1,34,413,4.04,1.25,5.6,0.0,5.6,6.8,1.2
317,Carson Kelly,28,ARI,NL,18,60,57,3,10,1,0,1,5,0,0,2,18,0.175,0.2,0.246,0.446,23,14,1,0,0,1,0,367,28,ARI,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,0,6.29,2.0,9.0,0.0,9.0,0.0,0.0
323,Isiah Kiner-Falefa,28,NYY,AL,76,225,204,29,51,7,1,5,24,9,4,17,37,0.25,0.308,0.368,0.676,88,75,8,1,1,2,0,380,28,NYY,AL,0,0,0.0,2.25,4,0,4,0,0,0,4.0,4,1,1,0,0,0,1,0,0,0,16,205,2.79,1.0,9.0,0.0,0.0,2.3,0.0
324,John King*,28,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,381,28,TEX,AL,1,1,0.5,5.79,15,0,8,0,0,0,18.2,26,12,12,1,4,0,10,0,0,0,81,77,3.56,1.607,12.5,0.5,1.9,4.8,2.5
337,Mark Leiter Jr.,32,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,412,32,CHC,NL,1,2,0.333,3.29,41,0,9,0,0,3,41.0,27,17,15,4,14,0,53,5,1,1,168,137,3.36,1.0,5.9,0.9,3.1,11.6,3.79
